id,comentario,sentimiento
180,"Partido equilibrado, resultado justo.",Neutral
177,"Encuentro equilibrado, reparto justo de puntos.",Neutral
189,Resultado esperado dadas las circunstancias.,Neutral
132,Nuestro ataque no generó peligro suficiente.,Negativo
148,"Sin sobresaltos, rendimiento promedio.",Neutral
63,"¡Gran esfuerzo colectivo, merecida victoria!",Positivo
120,"Perdimos merecidamente, mal rendimiento general.",Negativo
38,"¡Partido excepcional, dominamos claramente!",Positivo
51,La defensa estuvo impecable hoy.,Positivo
22,Actuación brillante del mediocampo.,Positivo
161,Jugamos acorde a nuestro nivel habitual.,Neutral
26,"¡Gran esfuerzo colectivo, merecida victoria!",Positivo
8,La defensa estuvo impecable hoy.,Positivo
150,Ambos equipos tuvieron oportunidades.,Neutral
59,Nuestro delantero marcó un gol espectacular.,Positivo
107,El equipo pareció desorganizado en todo momento.,Negativo
5,La estrategia funcionó perfectamente.,Positivo
152,Empate que refleja claramente el rendimiento.,Neutral
168,Resultado esperado dadas las circunstancias.,Neutral
188,"Partido equilibrado, resultado justo.",Neutral
116,Nuestro ataque no generó peligro suficiente.,Negativo
144,Rendimiento estable en defensa y ataque.,Neutral
138,Muy poca intensidad durante todo el partido.,Negativo
58,Excelente rendimiento de todo el equipo.,Positivo
73,Nuestro ataque no generó peligro suficiente.,Negativo
20,"¡Partido excepcional, dominamos claramente!",Positivo
82,"Perdimos merecidamente, mal rendimiento general.",Negativo
44,Controlamos claramente el ritmo del partido.,Positivo
171,Empate que refleja claramente el rendimiento.,Neutral
159,Partido sin mucha emoción.,Neutral
70,"Victoria sólida, equipo muy bien organizado.",Positivo
115,Actuación decepcionante del portero.,Negativo
117,"Mala estrategia, el técnico cometió errores.",Negativo
93,"Mala estrategia, el técnico cometió errores.",Negativo
60,Nuestro delantero marcó un gol espectacular.,Positivo
194,Resultado esperado dadas las circunstancias.,Neutral
42,"Victoria sólida, equipo muy bien organizado.",Positivo
173,Empate que refleja claramente el rendimiento.,Neutral
191,Jugamos acorde a nuestro nivel habitual.,Neutral
100,Muy poca intensidad durante todo el partido.,Negativo
155,Ambos equipos tuvieron oportunidades.,Neutral
52,La estrategia funcionó perfectamente.,Positivo
10,Nuestro portero estuvo sobresaliente.,Positivo
1,La defensa estuvo impecable hoy.,Positivo
32,Actuación brillante del mediocampo.,Positivo
39,La estrategia funcionó perfectamente.,Positivo
49,La defensa estuvo impecable hoy.,Positivo
53,Nuestro delantero marcó un gol espectacular.,Positivo
118,Errores constantes en pases y posesión.,Negativo
183,Rendimiento estable en defensa y ataque.,Neutral
196,Ambos equipos tuvieron oportunidades.,Neutral
78,El equipo pareció desorganizado en todo momento.,Negativo
145,"Actuación normal, nada destacable.",Neutral
99,"Perdimos merecidamente, mal rendimiento general.",Negativo
96,"Mal partido, fallamos demasiadas oportunidades.",Negativo
21,La estrategia funcionó perfectamente.,Positivo
137,"Mal partido, fallamos demasiadas oportunidades.",Negativo
178,Jugamos acorde a nuestro nivel habitual.,Neutral
31,La defensa estuvo impecable hoy.,Positivo
81,"Mala estrategia, el técnico cometió errores.",Negativo
3,Actuación brillante del mediocampo.,Positivo
147,Jugamos acorde a nuestro nivel habitual.,Neutral
182,"Partido equilibrado, resultado justo.",Neutral
133,El equipo pareció desorganizado en todo momento.,Negativo
140,"Mala estrategia, el técnico cometió errores.",Negativo
141,Resultado esperado dadas las circunstancias.,Neutral
45,La estrategia funcionó perfectamente.,Positivo
109,"Perdimos merecidamente, mal rendimiento general.",Negativo
114,El equipo pareció desorganizado en todo momento.,Negativo
143,"Actuación normal, nada destacable.",Neutral
15,"¡Gran esfuerzo colectivo, merecida victoria!",Positivo
136,Errores constantes en pases y posesión.,Negativo
195,"Sin sobresaltos, rendimiento promedio.",Neutral
41,Actuación brillante del mediocampo.,Positivo
28,La defensa estuvo impecable hoy.,Positivo
186,Ambos equipos tuvieron oportunidades.,Neutral
187,"Encuentro equilibrado, reparto justo de puntos.",Neutral
76,La defensa estuvo muy débil.,Negativo
11,"¡Partido excepcional, dominamos claramente!",Positivo
112,"Perdimos merecidamente, mal rendimiento general.",Negativo
127,El equipo pareció desorganizado en todo momento.,Negativo
123,"Mala estrategia, el técnico cometió errores.",Negativo
87,"Perdimos merecidamente, mal rendimiento general.",Negativo
47,"¡Gran esfuerzo colectivo, merecida victoria!",Positivo
72,Nuestro ataque no generó peligro suficiente.,Negativo
160,"Partido equilibrado, resultado justo.",Neutral
24,"¡Partido excepcional, dominamos claramente!",Positivo
43,"¡Gran esfuerzo colectivo, merecida victoria!",Positivo
30,"¡Partido excepcional, dominamos claramente!",Positivo
55,Excelente rendimiento de todo el equipo.,Positivo
192,Partido sin mucha emoción.,Neutral
33,"¡Partido excepcional, dominamos claramente!",Positivo
57,Controlamos claramente el ritmo del partido.,Positivo
62,La defensa estuvo impecable hoy.,Positivo
36,Actuación brillante del mediocampo.,Positivo
184,Ambos equipos tuvieron oportunidades.,Neutral
48,Actuación brillante del mediocampo.,Positivo
40,Controlamos claramente el ritmo del partido.,Positivo
154,Ambos equipos tuvieron oportunidades.,Neutral
19,Nuestro delantero marcó un gol espectacular.,Positivo
80,Nuestro ataque no generó peligro suficiente.,Negativo
101,"Mala estrategia, el técnico cometió errores.",Negativo
197,Empate que refleja claramente el rendimiento.,Neutral
156,Ambos equipos tuvieron oportunidades.,Neutral
85,"Mal partido, fallamos demasiadas oportunidades.",Negativo
181,Jugamos acorde a nuestro nivel habitual.,Neutral
121,El equipo pareció desorganizado en todo momento.,Negativo
170,"Partido equilibrado, resultado justo.",Neutral
128,Errores constantes en pases y posesión.,Negativo
46,"Victoria sólida, equipo muy bien organizado.",Positivo
18,La defensa estuvo impecable hoy.,Positivo
146,Rendimiento estable en defensa y ataque.,Neutral
89,Actuación decepcionante del portero.,Negativo
64,"¡Gran esfuerzo colectivo, merecida victoria!",Positivo
97,"Perdimos merecidamente, mal rendimiento general.",Negativo
135,"Perdimos merecidamente, mal rendimiento general.",Negativo
169,Partido sin mucha emoción.,Neutral
92,Nuestro ataque no generó peligro suficiente.,Negativo
175,Rendimiento estable en defensa y ataque.,Neutral
103,Nuestro delantero no estuvo acertado hoy.,Negativo
165,Jugamos acorde a nuestro nivel habitual.,Neutral
153,Partido sin mucha emoción.,Neutral
84,"Mal partido, fallamos demasiadas oportunidades.",Negativo
34,Nuestro portero estuvo sobresaliente.,Positivo
163,Partido sin mucha emoción.,Neutral
157,Empate que refleja claramente el rendimiento.,Neutral
88,Errores constantes en pases y posesión.,Negativo
102,Errores constantes en pases y posesión.,Negativo
14,"¡Partido excepcional, dominamos claramente!",Positivo
158,"Encuentro equilibrado, reparto justo de puntos.",Neutral
131,"Mal partido, fallamos demasiadas oportunidades.",Negativo
12,Actuación brillante del mediocampo.,Positivo
69,"Victoria sólida, equipo muy bien organizado.",Positivo
105,Muy poca intensidad durante todo el partido.,Negativo
7,"¡Partido excepcional, dominamos claramente!",Positivo
77,"Mala estrategia, el técnico cometió errores.",Negativo
176,Empate que refleja claramente el rendimiento.,Neutral
179,Jugamos acorde a nuestro nivel habitual.,Neutral
167,"Encuentro equilibrado, reparto justo de puntos.",Neutral
94,Errores constantes en pases y posesión.,Negativo
74,Muy poca intensidad durante todo el partido.,Negativo
68,La estrategia funcionó perfectamente.,Positivo
149,"Sin sobresaltos, rendimiento promedio.",Neutral
199,Rendimiento estable en defensa y ataque.,Neutral
56,Nuestro delantero marcó un gol espectacular.,Positivo
95,Muy poca intensidad durante todo el partido.,Negativo
37,Actuación brillante del mediocampo.,Positivo
104,El equipo pareció desorganizado en todo momento.,Negativo
190,Partido sin mucha emoción.,Neutral
164,"Partido equilibrado, resultado justo.",Neutral
125,La defensa estuvo muy débil.,Negativo
50,La defensa estuvo impecable hoy.,Positivo
61,La estrategia funcionó perfectamente.,Positivo
111,La defensa estuvo muy débil.,Negativo
130,Nuestro ataque no generó peligro suficiente.,Negativo
172,"Encuentro equilibrado, reparto justo de puntos.",Neutral
193,"Actuación normal, nada destacable.",Neutral
75,Actuación decepcionante del portero.,Negativo
162,Empate que refleja claramente el rendimiento.,Neutral
122,Actuación decepcionante del portero.,Negativo
29,Nuestro portero estuvo sobresaliente.,Positivo
35,La defensa estuvo impecable hoy.,Positivo
166,Jugamos acorde a nuestro nivel habitual.,Neutral
25,Actuación brillante del mediocampo.,Positivo
174,"Sin sobresaltos, rendimiento promedio.",Neutral
142,"Partido equilibrado, resultado justo.",Neutral
200,"Encuentro equilibrado, reparto justo de puntos.",Neutral
110,"Mal partido, fallamos demasiadas oportunidades.",Negativo
9,Nuestro portero estuvo sobresaliente.,Positivo
2,La defensa estuvo impecable hoy.,Positivo
71,Errores constantes en pases y posesión.,Negativo
198,"Sin sobresaltos, rendimiento promedio.",Neutral
65,La defensa estuvo impecable hoy.,Positivo
139,El equipo pareció desorganizado en todo momento.,Negativo
108,Errores constantes en pases y posesión.,Negativo
91,"Mal partido, fallamos demasiadas oportunidades.",Negativo
66,"¡Gran esfuerzo colectivo, merecida victoria!",Positivo
6,Excelente rendimiento de todo el equipo.,Positivo
17,"¡Partido excepcional, dominamos claramente!",Positivo
27,Nuestro delantero marcó un gol espectacular.,Positivo
126,"Mal partido, fallamos demasiadas oportunidades.",Negativo
86,"Mala estrategia, el técnico cometió errores.",Negativo
119,"Mala estrategia, el técnico cometió errores.",Negativo
4,Nuestro delantero marcó un gol espectacular.,Positivo
134,"Mal partido, fallamos demasiadas oportunidades.",Negativo
113,Actuación decepcionante del portero.,Negativo
151,"Sin sobresaltos, rendimiento promedio.",Neutral
67,Excelente rendimiento de todo el equipo.,Positivo
83,La defensa estuvo muy débil.,Negativo
54,La estrategia funcionó perfectamente.,Positivo
98,"Mala estrategia, el técnico cometió errores.",Negativo
79,"Mal partido, fallamos demasiadas oportunidades.",Negativo
16,"Victoria sólida, equipo muy bien organizado.",Positivo
23,Nuestro delantero marcó un gol espectacular.,Positivo
129,El equipo pareció desorganizado en todo momento.,Negativo
124,Errores constantes en pases y posesión.,Negativo
185,Rendimiento estable en defensa y ataque.,Neutral
13,Controlamos claramente el ritmo del partido.,Positivo
90,El equipo pareció desorganizado en todo momento.,Negativo
106,"Mala estrategia, el técnico cometió errores.",Negativo
