fecha_partido,equipo_local,equipo_visitante,goles_local,goles_visitante,posesion_local (%),posesion_visitante (%),tiros_arco_local,tiros_arco_visitante,estadio
2023-01-01,Atlético Python,Cebollitas FC,2,0,54,46,12,6,Python Arena
2023-01-08,NumPy City,Atlético Python,1,5,60,40,12,3,Estadio ML
2023-01-15,Cebollitas FC,Data United,1,0,55,45,10,7,Python Arena
2023-01-22,Atlético Python,Data United,2,3,57,43,3,3,Campo Pandas
2023-01-29,Data United,Cebollitas FC,5,3,52,48,7,12,Estadio ML
2023-02-05,Data United,Cebollitas FC,3,3,60,40,8,11,Python Arena
2023-02-12,Data United,Real Pandas,4,1,49,51,4,8,Estadio ML
2023-02-19,Cebollitas FC,Real Pandas,1,2,56,44,5,5,Estadio ML
2023-02-26,NumPy City,Data United,1,5,60,40,9,9,Estadio DataCamp
2023-03-05,Atlético Python,Cebollitas FC,1,4,43,57,10,7,Estadio ML
2023-03-12,Data United,NumPy City,3,5,48,52,5,8,Python Arena
2023-03-19,Cebollitas FC,Data United,4,0,49,51,4,12,Estadio DataCamp
2023-03-26,NumPy City,Real Pandas,1,0,56,44,10,12,Estadio DataCamp
2023-04-02,Data United,Real Pandas,1,0,47,53,6,6,Campo Pandas
2023-04-09,NumPy City,Atlético Python,2,3,52,48,6,6,Estadio ML
2023-04-16,Data United,NumPy City,1,5,47,53,11,7,Estadio ML
2023-04-23,Atlético Python,Real Pandas,2,0,52,48,11,8,Estadio DataCamp
2023-04-30,Data United,Atlético Python,5,0,45,55,10,11,Python Arena
2023-05-07,Atlético Python,Data United,4,3,42,58,6,12,Campo Pandas
2023-05-14,Data United,Real Pandas,4,3,57,43,10,11,Python Arena
2023-05-21,Cebollitas FC,Real Pandas,0,1,47,53,11,5,Estadio ML
2023-05-28,Cebollitas FC,Real Pandas,3,3,53,47,7,4,Python Arena
2023-06-04,Data United,Real Pandas,0,0,45,55,11,9,Campo Pandas
2023-06-11,Cebollitas FC,Data United,1,1,46,54,3,8,Estadio DataCamp
2023-06-18,Real Pandas,NumPy City,2,3,44,56,4,5,Estadio ML
2023-06-25,Atlético Python,NumPy City,4,3,54,46,8,10,Campo Pandas
2023-07-02,Data United,Real Pandas,3,1,53,47,4,3,Python Arena
2023-07-09,Atlético Python,Cebollitas FC,4,4,53,47,8,12,Estadio ML
2023-07-16,Cebollitas FC,Data United,0,3,47,53,8,4,Campo Pandas
2023-07-23,Cebollitas FC,Data United,2,1,46,54,10,10,Estadio DataCamp
2023-07-30,Data United,NumPy City,3,0,54,46,6,3,Estadio ML
2023-08-06,Data United,Atlético Python,0,4,41,59,10,3,Estadio DataCamp
2023-08-13,Atlético Python,NumPy City,5,5,57,43,11,3,Estadio ML
2023-08-20,Real Pandas,Cebollitas FC,4,4,45,55,11,8,Python Arena
2023-08-27,Data United,Cebollitas FC,0,4,44,56,6,12,Campo Pandas
2023-09-03,Data United,Real Pandas,1,2,44,56,11,4,Python Arena
2023-09-10,Atlético Python,Real Pandas,5,2,58,42,4,8,Estadio ML
2023-09-17,Cebollitas FC,NumPy City,2,3,57,43,11,9,Python Arena
2023-09-24,Cebollitas FC,Data United,1,1,52,48,10,9,Estadio DataCamp
2023-10-01,Real Pandas,NumPy City,3,0,60,40,7,7,Campo Pandas
2023-10-08,Real Pandas,Cebollitas FC,3,1,57,43,7,7,Campo Pandas
2023-10-15,NumPy City,Atlético Python,0,2,44,56,9,11,Estadio ML
2023-10-22,Cebollitas FC,Atlético Python,2,3,52,48,4,6,Estadio DataCamp
2023-10-29,Data United,NumPy City,3,5,41,59,9,4,Estadio ML
2023-11-05,Real Pandas,Cebollitas FC,5,0,45,55,5,10,Campo Pandas
2023-11-12,Cebollitas FC,Atlético Python,5,2,57,43,7,6,Campo Pandas
2023-11-19,Data United,NumPy City,3,4,55,45,11,10,Estadio ML
2023-11-26,Atlético Python,NumPy City,2,5,45,55,10,12,Estadio DataCamp
2023-12-03,Atlético Python,Real Pandas,3,0,45,55,3,6,Estadio ML
2023-12-10,Real Pandas,NumPy City,2,5,57,43,4,12,Python Arena
2023-12-17,NumPy City,Cebollitas FC,4,5,43,57,10,5,Estadio DataCamp
2023-12-24,Atlético Python,Data United,3,5,53,47,10,10,Estadio ML
2023-12-31,Real Pandas,Cebollitas FC,4,0,54,46,11,11,Python Arena
2024-01-07,Cebollitas FC,NumPy City,4,1,60,40,3,6,Campo Pandas
2024-01-14,Atlético Python,Real Pandas,2,1,44,56,12,11,Python Arena
2024-01-21,Data United,Cebollitas FC,4,5,51,49,6,7,Estadio ML
2024-01-28,Data United,Atlético Python,0,5,40,60,5,8,Estadio ML
2024-02-04,Atlético Python,NumPy City,5,3,51,49,11,9,Estadio DataCamp
2024-02-11,Cebollitas FC,NumPy City,5,5,42,58,10,6,Estadio ML
2024-02-18,Real Pandas,Atlético Python,2,1,58,42,11,10,Estadio DataCamp
2024-02-25,Atlético Python,Real Pandas,1,5,41,59,4,12,Campo Pandas
2024-03-03,Real Pandas,Atlético Python,4,3,40,60,3,3,Estadio DataCamp
2024-03-10,Cebollitas FC,NumPy City,1,3,54,46,7,11,Python Arena
2024-03-17,Data United,Real Pandas,0,5,45,55,7,9,Estadio DataCamp
2024-03-24,Real Pandas,Atlético Python,2,4,44,56,3,12,Estadio DataCamp
2024-03-31,NumPy City,Atlético Python,3,0,42,58,11,9,Estadio DataCamp
2024-04-07,Cebollitas FC,NumPy City,0,2,43,57,4,5,Estadio ML
2024-04-14,Cebollitas FC,Data United,3,0,60,40,12,12,Estadio DataCamp
2024-04-21,Cebollitas FC,Atlético Python,4,4,50,50,5,12,Python Arena
2024-04-28,Real Pandas,Cebollitas FC,1,4,60,40,9,5,Estadio DataCamp
2024-05-05,NumPy City,Cebollitas FC,2,2,50,50,5,4,Campo Pandas
2024-05-12,NumPy City,Data United,4,1,43,57,4,5,Python Arena
2024-05-19,Data United,NumPy City,0,4,52,48,10,11,Campo Pandas
2024-05-26,Atlético Python,Data United,1,3,41,59,4,6,Python Arena
2024-06-02,NumPy City,Data United,5,5,48,52,11,11,Campo Pandas
2024-06-09,Atlético Python,NumPy City,2,1,52,48,10,5,Estadio DataCamp
2024-06-16,Real Pandas,NumPy City,4,5,43,57,7,12,Estadio ML
2024-06-23,Data United,Atlético Python,3,2,52,48,10,6,Estadio DataCamp
2024-06-30,Atlético Python,NumPy City,5,5,58,42,4,8,Estadio ML
2024-07-07,Data United,NumPy City,4,1,52,48,7,3,Campo Pandas
2024-07-14,Cebollitas FC,Data United,3,2,49,51,5,9,Estadio DataCamp
2024-07-21,NumPy City,Cebollitas FC,5,3,59,41,11,4,Estadio DataCamp
2024-07-28,Real Pandas,Atlético Python,3,2,42,58,9,7,Estadio DataCamp
2024-08-04,Real Pandas,Cebollitas FC,3,0,47,53,3,4,Estadio DataCamp
2024-08-11,NumPy City,Atlético Python,3,3,60,40,7,6,Python Arena
2024-08-18,Cebollitas FC,NumPy City,2,0,42,58,4,12,Estadio DataCamp
2024-08-25,Atlético Python,Data United,4,0,49,51,12,10,Estadio DataCamp
2024-09-01,Data United,NumPy City,3,4,51,49,10,12,Estadio DataCamp
2024-09-08,Cebollitas FC,Data United,0,2,54,46,9,6,Python Arena
2024-09-15,Cebollitas FC,Real Pandas,4,4,41,59,5,12,Campo Pandas
2024-09-22,Cebollitas FC,Atlético Python,0,2,54,46,10,9,Python Arena
2024-09-29,Cebollitas FC,Data United,5,0,56,44,4,8,Python Arena
2024-10-06,Atlético Python,NumPy City,2,5,51,49,8,4,Python Arena
2024-10-13,Data United,Atlético Python,5,5,49,51,7,10,Campo Pandas
2024-10-20,Cebollitas FC,Data United,3,3,46,54,5,12,Python Arena
2024-10-27,Data United,Cebollitas FC,4,2,52,48,11,5,Estadio DataCamp
2024-11-03,Atlético Python,Data United,4,4,56,44,4,6,Campo Pandas
2024-11-10,Atlético Python,Data United,5,0,58,42,4,9,Estadio DataCamp
2024-11-17,Cebollitas FC,Atlético Python,2,3,58,42,9,9,Campo Pandas
2024-11-24,NumPy City,Cebollitas FC,2,3,46,54,6,5,Campo Pandas
